text,label
dalam negara yang mengaku demokratis dan konstitusional pengangguran bukan hanya statistik ekonomi melainkan indikator keadilan sosial ketika negara diam maka itu bukan hanya lepas tangan tetapi lepas tanggung jawab konstitusional,3
kebebasan berpendapat adalah hak setiap orang utk menyampaikan pikiran dan pandangannya baik secara lisan maupun tulisan termasuk menyatakan dukungannya pada israel ini dijamin dalam uud jangan menjadi munafik,2
ngabrut bgt tiba intv pas ditanya mimpi jawabnya membahagiakan orangtua,7
bahkan toleransi sering dijual sebagai isu sehingga tak jarang ada pihak yg diuntungkan kita setara sebagai warga negara tdk ada mayoritasminoritas setara hidup berdampingan amp,0
sekarang era teknologi internet gratis bisa masuk ke pelosok negeri untuk menjangkau pendidikan teknologi pangan dan ekonomi digital itu lebih bagus ketimbang mbg tapi malah meracuni siswa,3
prinsip kopdes menurut pemikiran para tokoh pentingnya pembangunan berbasis desa dgn syarat sistem yg baik dan pelaksanaannya harus sesuai dgn tindakan hasil nyata dgn fakta dilapangan dan tdk ada unsur kegagalan utk mewujudkan uud pasal dgn penuh tanggung jawab,4
jawaban active wallets phishing peretasan melalui teknik manipulasi sosial contohnya seperti pada kasus ronin bridge di mana hacker menggunakan email phishing untuk membajak validator dan mencuri dana jutaan dolar,5
jika saya jadi presiden kebijakan mendesak adalah program penciptaan lapangan kerja masif fokusnya percepat pembangunan infrastruktur untuk ciptakan jobs terutama di desa dukung umkm dengan insentif finansial untuk ekspansi dan rekrutmen investasi pendidikan dan,3
apa ga kebalik pak indonesia gelap kabur aja dulu itu terjadi krn banyak yg kecewa dg sistem pemerintahan kita yg korup dan kondisi korupsi disini yg tambah parah bikin org milih pindah ke ln banyak yg kecewa krn keadilan sosial bagi seluruh rakyat itu cm omdo,6
bukti pendidikan polisi baik bintara maupun perwira tdk menjadikan seorg oknum memahami toleransi malah menjadi musuh dari dalam negeri sendiri bela negara dan hankamnas nya nol besar merusak kerukunan tindak oknum ini pak,6
korupsi di indonesia memang parah bikin rakyat miskin makin susah dan gap kayamiskin lebar kpk perlu diperkuat tapi ada kendala politik egovernance bisa bantu transparansi pendidikan antikorupsi ubah budaya dan rakyat harus ikut lapor ka,6
dulu amerika menyecar prabowo soal pelanggaran ham tapi dalam politik semua bisa berubah,2
langkah besar nih pemerintah ngajarin kita pentingnya energi bersih buat masa depan yang lebih hijau,5
ada yang bilang itu tidak pernah terjadi ada yang menyebutnya isu lama hoaks bahkan politisasi tragedi tapi kami tidak lupa kami tidak akan diam karena bagi para korban diam adalah kematian kedua,2
coba jelaskan rantai pasok gas elpiji ini nantinya dari pertamina hingga ke rumah tangga melalui koperasi,6
mereka cuma butuh duit anj gausah dihina sebegitunya klo negara ga memiskinkan ortu mereka juga menyediakan jalan bagi mereka utk mengenyam pendidikan yg berkualitas ya mereka gabakal ada di posisi itu harusnya kita yg ngerti ya kasihan ga perlu dihina,7
situs dpr bukan sekadar domain tapi sarana demokrasi digital yang harus diamankan lewat aturan yang kuat,2
padahal hakhak itu ya hakhak dasar orangorang lgbt sebagai manusia juga keadilan sosial bagi seluruh rakyat indonesia kan,0
semua ini adalah rahsia negara yang kita sendiri pun tak tahu apa tapi saya percaya pada kementerian pertahanan mindef dan panglima tentera panglima tentera udara diraja malaysia dan barisan kejuruteraan yang bagi pandangan tentang aset strategik negara,5
di zaman skrng mana ada sih org yg gatau kalo setiap negara punya plus minusnya masingmasing yg bisa akses internet bukan lu doang kocakk,2
urgensina naon sih agar pemerataan pembangunan kah salah satu contoh banten anu pisah ti jabar kumaha kaayaan ayeuna daripada pecah provinsi mending pemekaran kabupaten sih khususna anu wilayahna luas misal kab bandung karunya eta orang cimenyan ngurus kudu ka soreang,4
tugas menteri pertahanan sudah tidak simpatik lgi bicara tugas menhan dari yg nanam singkong skrg alasan hindari konflik dgn negara sebelah,5
udah tahun tapi regulasi keamanan siber masih jadi wacana doang kalo rakyat yang jadi korban siapa yang tanggung jawab,5
pancasila adalah nilainilai konstitusional negara sebagai dasar negara bukan ideologi bukan falsafah sebab negara itu bukan makhluk hidup dan bakal ngaco kalau negara itu makhluk hidup kritik republikanisme vs monarki seperti ini sudah ada dari zaman plato dan aristoteles,2
pemerintah udah mulai ngajarin kita soal energi bersih ini waktu yang tepat buat berubah,5
kesadaran bersama akan pentingnya pelestarian alam harus ditingkatkan untuk mencegah bencana serupa di masa depan mari kita bersatu untuk menjaga alam dan lingkungan demi masa depan yang lebih baik banjir yogyakarta bencana yogyakarta yogyakarta flood sungai celeng,5
harus sudah diseret keranah pidana tp kita tau sendiri lah para penegak hukum di negri ini kan brengsek klau penegakan hukum di negri ini tegas koruptor pasti takut nyolong duit negara tp fakta nya indonesia sarang koruptor makanya orang asing,2
untuk membuat pejabat koruptor tunduk kepada rakyat diperlukan reformasi hukum transparansi dan partisipasi publik perkuat lembaga seperti kpk terapkan pemerintahan terbuka dan dorong warga melapor serta memili,6
kok bisa ya krismon posting akte kelahiran pak jokowi dapat dari mana kok fotokopian bukan akte asli salah ga sih posting data pribadi orang di medsos,6
